epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.013,1.20316,2.31717,1.4395,0.90604,0.08502,0.10091,0.05816,1.32883,1.35039,1.49852,0.000158543,0.000158543,0.000158543
2,764.769,1.01366,1.41692,1.30458,0.65019,0.07499,0.09021,0.05177,1.37467,1.49333,1.55097,0.000301508,0.000301508,0.000301508
3,1134.25,0.97608,1.24676,1.28046,0.78135,0.07926,0.10657,0.06294,1.35543,1.34056,1.55398,0.000428765,0.000428765,0.000428765
4,1506.7,0.93548,1.1625,1.25684,0.46501,0.12232,0.11456,0.06458,1.31885,1.26783,1.51873,0.000405314,0.000405314,0.000405314
5,1879.74,0.89149,1.09243,1.23044,0.47459,0.121,0.12007,0.07096,1.27719,1.19487,1.47663,0.000381752,0.000381752,0.000381752
6,2253.9,0.86775,1.0473,1.20852,0.73214,0.13537,0.13348,0.07878,1.28535,1.14554,1.47931,0.00035819,0.00035819,0.00035819
7,2623.8,0.83808,1.00786,1.19312,0.67805,0.14498,0.14434,0.08456,1.22559,1.0897,1.42366,0.000334628,0.000334628,0.000334628
8,2990.19,0.82529,0.97274,1.18355,0.81354,0.15155,0.13676,0.08481,1.21261,1.05706,1.41505,0.000311066,0.000311066,0.000311066
9,3357.69,0.805,0.94211,1.16998,0.82895,0.16193,0.15056,0.09,1.18237,1.05964,1.39062,0.000287504,0.000287504,0.000287504
10,3730.28,0.7872,0.91375,1.15942,0.6385,0.20642,0.18444,0.11325,1.17047,1.02041,1.37593,0.000263942,0.000263942,0.000263942
11,4087.22,0.81819,0.90084,1.17911,0.49272,0.21825,0.18533,0.11658,1.15847,1.00116,1.37048,0.00024038,0.00024038,0.00024038
12,4441.49,0.79631,0.85783,1.16069,0.63234,0.22219,0.19729,0.12738,1.11866,0.95614,1.32882,0.000216818,0.000216818,0.000216818
13,4796.12,0.77925,0.82933,1.15103,0.59383,0.222,0.20047,0.13011,1.09006,0.92547,1.30583,0.000193256,0.000193256,0.000193256
14,5153.55,0.76079,0.80037,1.13464,0.62438,0.23628,0.20464,0.13092,1.09302,0.92622,1.3082,0.000169694,0.000169694,0.000169694
15,5503.99,0.75126,0.77969,1.12606,0.66789,0.22762,0.20986,0.13523,1.07357,0.90206,1.28997,0.000146132,0.000146132,0.000146132
16,5854.21,0.73345,0.76084,1.11517,0.46242,0.26431,0.21974,0.14308,1.06424,0.8897,1.28803,0.00012257,0.00012257,0.00012257
17,6207.56,0.72046,0.73602,1.10524,0.51843,0.25923,0.21957,0.14532,1.05625,0.8706,1.27173,9.9008e-05,9.9008e-05,9.9008e-05
18,6560.93,0.70992,0.71843,1.09579,0.71643,0.24024,0.23152,0.14901,1.05209,0.86346,1.26863,7.5446e-05,7.5446e-05,7.5446e-05
19,6914.45,0.69794,0.70074,1.08612,0.70937,0.24239,0.23302,0.1534,1.04431,0.84626,1.2592,5.1884e-05,5.1884e-05,5.1884e-05
20,7271.39,0.68628,0.68572,1.08241,0.56665,0.2475,0.23135,0.15263,1.03669,0.83686,1.2526,2.8322e-05,2.8322e-05,2.8322e-05
